"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
118, 4.026869776765583e-01, 4.883169584083928e-02, 8.971964969836296e-01, 8.291420451896460e-01, 9.335793802058888e-02, 2.588109264538074e+00, 1.430537481485241e-06, 8.800508939767258e-01, 9.808898016604531e-01, 7.936022511187993e-01, -2.816500094469668e-01, 4.875936592096007e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.215109956118156e-08
119, 3.955986237997501e-01, 4.802731888609080e-02, 8.967596037438905e-01, 8.155040081847731e-01, 9.328144384843616e-02, 2.583119344326766e+00, 1.439583874101048e-06, 8.829848997707801e-01, 9.846394686874808e-01, 7.795969645799065e-01, -2.747607312604956e-01, 4.889385489047790e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.291111785465775e-08
120, 3.884773660240961e-01, 4.720943160450208e-02, 9.047747473749412e-01, 8.154957047592991e-01, 9.424004267442859e-02, 2.605474301623711e+00, 1.471292033781956e-06, 8.932212769391799e-01, 9.872305560369783e-01, 7.717712475894490e-01, -2.507249062196396e-01, 4.898663442025229e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.038258498953677e-08
121, 3.813229646824495e-01, 4.637882853104904e-02, 9.076336081883202e-01, 8.123967179363786e-01, 9.431904043120165e-02, 2.611221648739480e+00, 1.485627038511892e-06, 8.970977954583116e-01, 9.883919980100355e-01, 7.660134090344572e-01, -2.416225334406133e-01, 4.902818146398001e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.285381794156494e-08
122, 3.741351733171189e-01, 4.553632433841188e-02, 9.157185508168511e-01, 8.151461725104919e-01, 9.573858568762539e-02, 2.635553739846765e+00, 1.519257366893295e-06, 9.070956877420556e-01, 9.905835007196223e-01, 7.610949913491433e-01, -2.181466898139015e-01, 4.910650698748066e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.302810780792566e-08
123, 3.669137391307606e-01, 4.468275319560510e-02, 9.178735388030475e-01, 8.029577041221523e-01, 9.524624283519381e-02, 2.637736378232182e+00, 1.533599539180479e-06, 9.126320237782559e-01, 9.942895019812569e-01, 7.466609782640756e-01, -2.051469339291445e-01, 4.923875753285450e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.618760463475149e-08
124, 3.596584032311098e-01, 4.381896763964187e-02, 9.257064172799641e-01, 8.014335982779019e-01, 9.557329293706525e-02, 2.659393730258710e+00, 1.575142921069056e-06, 9.230152320064609e-01, 9.970928307039171e-01, 7.379531837140911e-01, -1.807663379203981e-01, 4.933862609304186e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.806694700013400e-08
125, 3.523689011815588e-01, 4.294583797386487e-02, 9.306727447642236e-01, 7.954836831651738e-01, 9.530757867474332e-02, 2.669882915733191e+00, 1.587308989076883e-06, 9.300147065401682e-01, 9.992929434887210e-01, 7.278112467043706e-01, -1.643310168588143e-01, 4.941690314308787e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.017711845232248e-07
126, 3.450449632099770e-01, 4.206425141652790e-02, 9.391180795807295e-01, 8.001667342815133e-01, 9.616844962711955e-02, 2.696143834867200e+00, 1.630899385518670e-06, 9.401330383425780e-01, 1.001080757344488e+00, 7.248962856531281e-01, -1.405723716948952e-01, 4.948044532360684e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.170993262323407e-07
127, 3.376863147155619e-01, 4.117511055459104e-02, 9.446354134241336e-01, 7.882137506148382e-01, 9.534071229070172e-02, 2.707211836390522e+00, 1.650423121341780e-06, 9.494214408620988e-01, 1.005066533998145e+00, 7.085530730634043e-01, -1.187624662766535e-01, 4.962189540943525e-07, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.243734477483341e-07
