"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
257, 7.711499896881764e-01, -1.147712081773500e-02, 1.063522108783732e+00, 8.251792558101810e-01, 1.192994346387868e-01, 3.077506948468311e+00, 1.100276176981367e+00, 1.034558819129456e+00, 6.514065429139415e-01, 2.354564125607385e-01
258, 7.763403672673777e-01, -1.073331466056621e-02, 1.066879268198228e+00, 8.219606811981850e-01, 1.175323685298495e-01, 3.086048455780140e+00, 1.105176413657814e+00, 1.035896419211766e+00, 6.462620337183297e-01, 2.469625567244621e-01
259, 7.815072388768155e-01, -1.000028471421025e-02, 1.069097182045316e+00, 8.192441676895326e-01, 1.159938908703934e-01, 3.091176592228658e+00, 1.108397043487576e+00, 1.036759858787650e+00, 6.423964058027072e-01, 2.545248508677928e-01
260, 7.866508036362914e-01, -9.278716618773608e-03, 1.071355885024334e+00, 8.154925240938690e-01, 1.140519331088654e-01, 3.096448172055853e+00, 1.112003980484151e+00, 1.037940796357219e+00, 6.375911438947440e-01, 2.629942248618179e-01
261, 7.917712553767560e-01, -8.569290792936165e-03, 1.074942072009953e+00, 8.144948562847055e-01, 1.126703725761267e-01, 3.106223594746810e+00, 1.116697267069183e+00, 1.038844135090140e+00, 6.342786068954899e-01, 2.740144338057259e-01
262, 7.968687833786996e-01, -7.872689829493752e-03, 1.077940796631112e+00, 8.102182032372656e-01, 1.103937647774898e-01, 3.113269174182668e+00, 1.121248848957037e+00, 1.040176652058513e+00, 6.286136445377066e-01, 2.847019088875661e-01
263, 8.019435711911489e-01, -7.189590320156804e-03, 1.081569543818391e+00, 8.083800977520824e-01, 1.083589433417110e-01, 3.122842518363317e+00, 1.126126878806519e+00, 1.041196920940305e+00, 6.245939284657003e-01, 2.961559096612174e-01
264, 8.069957979166767e-01, -6.520670976280495e-03, 1.083633228377977e+00, 8.051623999766724e-01, 1.060499773777272e-01, 3.127773424919694e+00, 1.129383112269924e+00, 1.042218974735970e+00, 6.204295507229933e-01, 3.038018039586837e-01
265, 8.120256344916376e-01, -5.866604212405427e-03, 1.086345733277458e+00, 8.039414187598382e-01, 1.038614284742767e-01, 3.134804974033822e+00, 1.132945953901614e+00, 1.042896307498318e+00, 6.175413777952530e-01, 3.121676385404662e-01
266, 8.170332481226293e-01, -5.228064181935901e-03, 1.088110540020476e+00, 8.009686787743967e-01, 1.013586128961515e-01, 3.138989245204515e+00, 1.135787210099772e+00, 1.043816017146934e+00, 6.137850287302302e-01, 3.188391333234064e-01
